0	1	2
912828ZX1	99.000	99.002
912828ZX1	99.001	99.005
912828ZX1	99.002	99.010
912828ZX1	99.003	99.013
912828ZX1	99.00+	99.016
912828ZX1	99.005	99.021
912828ZX1	99.006	99.02+
912828ZX1	99.007	99.027
912828ZX1	99.010	99.032
912828ZX1	99.011	99.035
912828ZX1	99.012	99.040
912828ZX1	99.013	99.043
912828ZX1	99.01+	99.046
912828ZX1	99.015	99.051
912828ZX1	99.016	99.05+
912828ZX1	99.017	99.057
912828ZX1	99.020	99.062
912828ZX1	99.021	99.065
912828ZX1	99.022	99.070
912828ZX1	99.023	99.073
912828ZX1	99.02+	99.076
912828ZX1	99.025	99.081
912828ZX1	99.026	99.08+
912828ZX1	99.027	99.087
912828ZX1	99.030	99.092
912828ZX1	99.031	99.095
912828ZX1	99.032	99.100
912828ZX1	99.033	99.103
912828ZX1	99.03+	99.106
912828ZX1	99.035	99.111
912828ZX1	99.036	99.11+
912828ZX1	99.037	99.117
912828ZX1	99.040	99.122
912828ZX1	99.041	99.125
912828ZX1	99.042	99.130
912828ZX1	99.043	99.133
912828ZX1	99.04+	99.136
912828ZX1	99.045	99.141
912828ZX1	99.046	99.14+
912828ZX1	99.047	99.147
912828ZX1	99.050	99.152
912828ZX1	99.051	99.155
912828ZX1	99.052	99.160
912828ZX1	99.053	99.163
912828ZX1	99.05+	99.166
912828ZX1	99.055	99.171
912828ZX1	99.056	99.17+
912828ZX1	99.057	99.177
912828ZX1	99.060	99.182
912828ZX1	99.061	99.185
912828ZX1	99.062	99.190
912828ZX1	99.063	99.193
912828ZX1	99.06+	99.196
912828ZX1	99.065	99.201
912828ZX1	99.066	99.20+
912828ZX1	99.067	99.207
912828ZX1	99.070	99.212
912828ZX1	99.071	99.215
912828ZX1	99.072	99.220
912828ZX1	99.073	99.223
912828ZX1	99.07+	99.226
912828ZX1	99.075	99.231
912828ZX1	99.076	99.23+
912828ZX1	99.077	99.237
912828ZX1	99.080	99.242
912828ZX1	99.081	99.245
912828ZX1	99.082	99.250
912828ZX1	99.083	99.253
912828ZX1	99.08+	99.256
912828ZX1	99.085	99.261
912828ZX1	99.086	99.26+
912828ZX1	99.087	99.267
912828ZX1	99.090	99.272
912828ZX1	99.091	99.275
912828ZX1	99.092	99.280
912828ZX1	99.093	99.283
912828ZX1	99.09+	99.286
912828ZX1	99.095	99.291
912828ZX1	99.096	99.29+
912828ZX1	99.097	99.297
912828ZX1	99.100	99.302
912828ZX1	99.101	99.305
912828ZX1	99.102	99.310
912828ZX1	99.103	99.313
912828ZX1	99.10+	99.316
912828ZX1	99.105	100.001
912828ZX1	99.106	100.00+
912828ZX1	99.107	100.007
912828ZX1	99.110	100.012
912828ZX1	99.111	100.015
912828ZX1	99.112	100.020
912828ZX1	99.113	100.023
912828ZX1	99.11+	100.026
912828ZX1	99.115	100.031
912828ZX1	99.116	100.03+
912828ZX1	99.117	100.037
912828ZX1	99.120	100.042
912828ZX1	99.121	100.045
912828ZX1	99.122	100.050
912828ZX1	99.123	100.053
912828ZX1	99.12+	100.056
912828ZX1	99.125	100.061
912828ZX1	99.126	100.06+
912828ZX1	99.127	100.067
912828ZX1	99.130	100.072
912828ZX1	99.131	100.075
912828ZX1	99.132	100.080
912828ZX1	99.133	100.083
912828ZX1	99.13+	100.086
912828ZX1	99.135	100.091
912828ZX1	99.136	100.09+
912828ZX1	99.137	100.097
912828ZX1	99.140	100.102
912828ZX1	99.141	100.105
912828ZX1	99.142	100.110
912828ZX1	99.143	100.113
912828ZX1	99.14+	100.116
912828ZX1	99.145	100.121
912828ZX1	99.146	100.12+
912828ZX1	99.147	100.127
912828ZX1	99.150	100.132
912828ZX1	99.151	100.135
912828ZX1	99.152	100.140
912828ZX1	99.153	100.143
912828ZX1	99.15+	100.146
912828ZX1	99.155	100.151
912828ZX1	99.156	100.15+
912828ZX1	99.157	100.157
912828ZX1	99.160	99.162
912828ZX1	99.161	99.165
912828ZX1	99.162	99.170
912828ZX1	99.163	99.173
912828ZX1	99.16+	99.176
912828ZX1	99.165	99.181
912828ZX1	99.166	99.18+
912828ZX1	99.167	99.187
912828ZX1	99.170	99.192
912828ZX1	99.171	99.195
912828ZX1	99.172	99.200
912828ZX1	99.173	99.203
912828ZX1	99.17+	99.206
912828ZX1	99.175	99.211
912828ZX1	99.176	99.21+
912828ZX1	99.177	99.217
912828ZX1	99.180	99.222
912828ZX1	99.181	99.225
912828ZX1	99.182	99.230
912828ZX1	99.183	99.233
912828ZX1	99.18+	99.236
912828ZX1	99.185	99.241
912828ZX1	99.186	99.24+
912828ZX1	99.187	99.247
912828ZX1	99.190	99.252
912828ZX1	99.191	99.255
912828ZX1	99.192	99.260
912828ZX1	99.193	99.263
912828ZX1	99.19+	99.266
912828ZX1	99.195	99.271
912828ZX1	99.196	99.27+
912828ZX1	99.197	99.277
912828ZX1	99.200	99.282
912828ZX1	99.201	99.285
912828ZX1	99.202	99.290
912828ZX1	99.203	99.293
912828ZX1	99.20+	99.296
912828ZX1	99.205	99.301
912828ZX1	99.206	99.30+
912828ZX1	99.207	99.307
912828ZX1	99.210	99.312
912828ZX1	99.211	99.315
912828ZX1	99.212	100.000
912828ZX1	99.213	100.003
912828ZX1	99.21+	100.006
912828ZX1	99.215	100.011
912828ZX1	99.216	100.01+
912828ZX1	99.217	100.017
912828ZX1	99.220	100.022
912828ZX1	99.221	100.025
912828ZX1	99.222	100.030
912828ZX1	99.223	100.033
912828ZX1	99.22+	100.036
912828ZX1	99.225	100.041
912828ZX1	99.226	100.04+
